#Datum Aktivität 1.1.13
#Isotop Quellennr Ort 		Akt[kBq]	Akt[MBq]	HWZ[a]
109Cd	187-86	Schrank014	4.23E-05	4.23E-08	4.53E+02
109Cd	R12544	Schrank014	8.47E-06	8.47E-09	4.53E+02
110Ag	Stab 1	Tresor 5	3.68E-13	3.68E-16	2.50E+02
133Ba	6434	Tresor 9	5.71E+00	5.71E-03	1.05E+01
133Ba	6898	FP	5.55E+01	5.55E-02	1.05E+01
133Ba	8785	Tresor 10	1.64E+03	1.64E+00	1.05E+01
133Ba	1R280	Tresor 9	4.18E+01	4.18E-02	1.05E+01
133Ba	4026C	Halbl.Lab.	9.69E+00	9.69E-03	1.05E+01
133Ba	408-82	Tresor 7	2.76E+00	2.76E-03	1.05E+01
133Ba	A2008	Tresor 8	3.02E+01	3.02E-02	1.05E+01
133Ba	B9	Tresor 4	#WERT!		1.05E+01
133Ba	BLAU	Tresor 4	9.91E+00	9.91E-03	1.05E+01
133Ba	YH 23	Tresor 8	8.23E+01	8.23E-02	1.05E+01
133Ba	1480-80	Tresor 8	3.26E+02	3.26E-01	1.05E+01
137Cs	1027	Tresor 7	1.16E+01	1.16E-02	3.02E+01
137Cs	2778	Halbl.Lab.	5.71E+01	5.71E-02	3.02E+01
137Cs	6691	Tresor 9	2.21E+02	2.21E-01	3.02E+01
137Cs	7004	Halbl.Lab.	7.76E+02	7.76E-01	3.02E+01
137Cs	7091	FP	7.41E+01	7.41E-02	3.02E+01
137Cs	7098	FP	1.06E+02	1.06E-01	3.02E+01
137Cs	1S389	Tresor 9	1.81E+02	1.81E-01	3.02E+01
137Cs	286-82	Tresor 7	0.00E+00		3.02E+01
137Cs	430-78	Tresor 9	8.24E+00	8.24E-03	3.02E+01
137Cs	A2108	Tresor 8	1.61E+02	1.61E-01	3.02E+01
137Cs	B1	Tresor 4	1.78E+01		3.02E+01
137Cs	B12	Tresor 7	1.96E+01		3.02E+01
137Cs	B13	Tresor 7	2.39E+03		3.02E+01
137Cs	B2	Tresor 4	#WERT!		3.02E+01
137Cs	B7	Tresor 4	1.79E+03		3.02E+01
137Cs	BLAU	Tresor 4	9.15E+01	9.15E-02	3.02E+01
137Cs	CN928	Halbl.Lab.	2.01E+03	2.01E+00	3.02E+01
137Cs	II	Tresor 12	#WERT!		3.02E+01
137Cs	KM957	FP	2.89E+02	2.89E-01	3.02E+01
137Cs	OHNE	Tresor 12	1.11E+01		3.02E+01
137Cs	Set 27	Tresor 9	1.48E+02	1.48E-01	3.02E+01
137Cs	Stab 1	FP	1.66E+02	1.66E-01	3.02E+01
137Cs	Stab 11	Tresor 9	3.27E+02	3.27E-01	3.02E+01
137Cs	Stab 3	Tresor 9	2.55E+02	2.55E-01	3.02E+01
137Cs	Stab 4	Tresor 9	5.05E+02	5.05E-01	3.02E+01
137Cs	Stab 5	FP	2.70E+02	2.70E-01	3.02E+01
137Cs	Stab 6	FP	2.40E+02	2.40E-01	3.02E+01
137Cs	Stab 7	FP	3.92E+02	3.92E-01	3.02E+01
137Cs	Stab 8	Tresor 9	4.20E+02	4.20E-01	3.02E+01
137Cs	Stab 9	FP	3.04E+02	3.04E-01	3.02E+01
137Cs	SM747	Tresor 13	4.12E+01	4.12E-02	3.02E+01
137Cs	6548	Tresor 13	1.57E+02	1.57E-01	3.02E+01
147Pm	L2	Tresor 6	1.64E+02	1.64E-01	2.62E+00
151Sm	0118DA	Halbl.Lab.	3.52E+06	3.52E+03	9.30E+01
152Eu	7092	FP	2.00E+01	2.00E-02	1.33E+01
152Eu	244-80	Tresor 7	1.28E+01	1.28E-02	1.33E+01
152Eu	270-74	Tresor 4	9.73E+01	9.73E-02	1.33E+01
152Eu	401-76	Tresor 9	9.69E+00	9.69E-03	1.33E+01
152Eu	503-82	Tresor 7	7.91E+00	7.91E-03	1.33E+01
152Eu	B10	Tresor 4	1.63E+01		1.33E+01
152Eu	B11	Tresor 4	1.49E+01		1.33E+01
152Eu	B6	Tresor 4	1.61E+01		1.33E+01
152Eu	B8	Tresor 4	0.00E+00		1.33E+01
152Eu	KM276	Tresor 4	2.34E+01	2.34E-02	1.33E+01
152Eu	KP530	Tresor 8	2.14E+02	2.14E-01	1.33E+01
152Eu	YH 24	Tresor 8	1.10E+02	1.10E-01	1.33E+01
166Ho	OHNE	Tresor 4	9.05E+02	9.05E-01	1.20E+03
207Bi	7095	FP	6.78E+00	6.78E-03	3.04E+01
207Bi	7651	FP	4.44E+01	4.44E-02	3.04E+01
207Bi	B14	Tresor 7	2.02E+01		3.04E+01
207Bi	B3	Tresor 4	1.79E+01		3.04E+01
207Bi	B4	Tresor 7	2.14E+03		3.04E+01
207Bi	B5	Tresor 4	3.70E+01		3.04E+01
207Bi	ND3	Tresor 9	1.78E+02	1.78E-01	3.04E+01
226Ra	7093	Tresor 9	2.25E+02	2.25E-01	1.60E+03
226Ra	8336	Tresor 11	3.62E+05	3.62E+02	1.60E+03
226Ra	8453	Tresor 8	2.91E+02	2.91E-01	1.60E+03
226Ra	8454	Tresor 4	2.21E+02	2.21E-01	1.60E+03
226Ra	371-76	Tresor 8	9.85E+01	9.85E-02	1.60E+03
226Ra	B1242	Tresorraum	1.81E+05	1.81E+02	1.60E+03
226Ra	LC30	Halbl.Lab.	2.65E+02	2.65E-01	1.60E+03
226Ra	LN69	Halbl.Lab.	2.62E+02	2.62E-01	1.60E+03
226Ra	OHNE	2. 3. 04	0.00E+00		1.60E+03
226Ra	YH 28	Tresor 8	4.32E+02	4.32E-01	1.60E+03
